TEXT,FROM_USER,CREATED_AT
#lawdi suggestion by @chrpr : invade @code4lib conference,paregorios,"Sat, 02 Jun 2012 20:44:38 +0000"
It's time for some coins: http://t.co/M89wiRbi #lawdi,Menetys,"Sat, 02 Jun 2012 20:44:15 +0000"
"#lawdi ? interest in a day-long practical ""sit and do"" session and the next annual meeting of @apaclassics and @archaeology_aia",paregorios,"Sat, 02 Jun 2012 20:43:50 +0000"
"#LAWDI #hackfest idea on the table for #aiaapa, plus all of us need to present/workshop on linked data at all the conferences we can",adreinhard,"Sat, 02 Jun 2012 20:43:24 +0000"
AIA/APA hackfest #lawdi is a great idea!,BradHafford,"Sat, 02 Jun 2012 20:42:54 +0000"
"#lawdi @BradHafford also, we're still trying to work it out. really want feedback on OpenContext review criteria!",ekansa,"Sat, 02 Jun 2012 20:42:16 +0000"
"RT @davidamichelson: badges for #LAWDI?: Bronze if you have URIs, Silver if you also use other's URIs, Gold if you create something new from other's LOD",eltonteb,"Sat, 02 Jun 2012 20:40:52 +0000"
RT @portableant: Talking about peer-review of web resources. That would be great and drive best practise and help people. #lawdi (@adamrabinowitz),amphinitum,"Sat, 02 Jun 2012 20:40:39 +0000"
"#lawdi just topped 400 twitter followers, mainly not bots, because of this meeting",ekansa,"Sat, 02 Jun 2012 20:40:33 +0000"
RT @portableant: We need to share what we have learnt at #lawdi with the wider archeaological/heritage community for emulation and as terms of reference.,amphinitum,"Sat, 02 Jun 2012 20:40:24 +0000"
RT @adreinhard: We need to commit to doing peer review electronic archaeological resources #LAWDI (idea from @adamrabinowitz),ewg118,"Sat, 02 Jun 2012 20:39:55 +0000"
"badges for #LAWDI?: Bronze if you have URIs, Silver if you also use other's URIs, Gold if you create something new from other's LOD",davidamichelson,"Sat, 02 Jun 2012 20:39:43 +0000"
RT @paregorios: #lawdi How to Evaluate Digital Scholarship http://t.co/s9VKzI1q,eltonteb,"Sat, 02 Jun 2012 20:39:05 +0000"
"@BradHafford Review criteria: sanity (no aliens), consistency/quality, enough documentation for informed reuse, then links to related #lawdi",ekansa,"Sat, 02 Jun 2012 20:38:50 +0000"
#lawdi JUST LINK,paregorios,"Sat, 02 Jun 2012 20:38:38 +0000"
"@leifuss if we're linking to other people and groups, we link data #lawdi",eltonteb,"Sat, 02 Jun 2012 20:38:13 +0000"
commenting on the previous http://t.co/U69ewCaU #lawdi,paregorios,"Sat, 02 Jun 2012 20:36:56 +0000"
RT @hcayless: My #LAWDI talk and slides from Thursday: https://t.co/3Bt5USy9 & http://t.co/Nu3dsafF,portableant,"Sat, 02 Jun 2012 20:36:26 +0000"
RT @eltonteb: The Pompeii Quadriporticus Project http://t.co/bZxDj9zQ #lawdi,lucia_1500,"Sat, 02 Jun 2012 20:36:21 +0000"
RT @hcayless: My #LAWDI talk and slides from Thursday: https://t.co/3Bt5USy9 & http://t.co/Nu3dsafF,eltonteb,"Sat, 02 Jun 2012 20:36:08 +0000"
@ekansa how does Open Context review datasets submitted to it? A group that decides it is useful? #lawdi,BradHafford,"Sat, 02 Jun 2012 20:35:56 +0000"
#lawdi How to Evaluate Digital Scholarship http://t.co/s9VKzI1q,paregorios,"Sat, 02 Jun 2012 20:35:51 +0000"
@portableant I will do so this weekend. The PPTX is on the laptop and will post the link #LAWDI,adreinhard,"Sat, 02 Jun 2012 20:35:46 +0000"
My #LAWDI talk and slides from Thursday: https://t.co/3Bt5USy9 & http://t.co/Nu3dsafF,hcayless,"Sat, 02 Jun 2012 20:35:40 +0000"
"RT @paregorios: #lawdi Suggested Guidelines for Evaluating Digital Media Activities in Tenure, Review, and Promotion http://t.co/TOfBHbpk",portableant,"Sat, 02 Jun 2012 20:34:59 +0000"
"Come on #lawdi people, add your presentations to slideshare so we can learn from each other and share the classics LOD love.",portableant,"Sat, 02 Jun 2012 20:34:26 +0000"
"#lawdi Suggested Guidelines for Evaluating Digital Media Activities in Tenure, Review, and Promotion http://t.co/TOfBHbpk",paregorios,"Sat, 02 Jun 2012 20:34:05 +0000"
RT @ewg118: Here's the slideshow version of my talk yesterday. http://t.co/EbbLmlqL #lawdi,portableant,"Sat, 02 Jun 2012 20:33:39 +0000"
"We need to share all the big problems of @adamrabinowitz, @davidamichelson and learn from these #lawdi You can have my data probs too.",portableant,"Sat, 02 Jun 2012 20:33:27 +0000"
#lawdi Guidelines for Evaluating Alternative Scholarly Products http://t.co/9ta85zez,paregorios,"Sat, 02 Jun 2012 20:33:26 +0000"
#lawdi Evaluating Digital Scholarship : http://t.co/FkA3W1mj,paregorios,"Sat, 02 Jun 2012 20:32:54 +0000"
#lawdi Guidelines for Evaluating Work in the Digital Humanities and Digital Media: http://t.co/U7drMJJJ,paregorios,"Sat, 02 Jun 2012 20:32:19 +0000"
We need to commit to doing peer review electronic archaeological resources #LAWDI (idea from @adamrabinowitz),adreinhard,"Sat, 02 Jun 2012 20:32:07 +0000"
"RT @eltonteb: SlideShare of my #lawdi presentation, starring Herodotus + the longest footnote in Homeric scholarship http://t.co/EvTzUqXH via @slideshare",portableant,"Sat, 02 Jun 2012 20:32:02 +0000"
"@adamrabinowitz We in this room could form the start of a group of ""peer-reviewers"" for digital projects (otherwise ignored). #lawdi",classicslib,"Sat, 02 Jun 2012 20:31:37 +0000"
"SlideShare of my #lawdi presentation, starring Herodotus + the longest footnote in Homeric scholarship http://t.co/EvTzUqXH via @slideshare",eltonteb,"Sat, 02 Jun 2012 20:31:27 +0000"
Talking about peer-review of web resources. That would be great and drive best practise and help people. #lawdi (@adamrabinowitz),portableant,"Sat, 02 Jun 2012 20:31:22 +0000"
@mia_out nope whats #LAWDI ? Sounds interesting. Is it on NYC now?,OonaghTweets,"Sat, 02 Jun 2012 20:30:45 +0000"
"#LAWDI @Pompeiana79 ""We need to create a network of problems!""",davidamichelson,"Sat, 02 Jun 2012 20:29:25 +0000"
@ekansa Also need to create guidelines for best practice of data management - key for guiding grant award bodies #lawdi,eltonteb,"Sat, 02 Jun 2012 20:27:21 +0000"
